"";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"Attention.check";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"condition";"credibility"
"9";7;4;2;5;3;5;5;1;"2";30;"2";"2";"preprint_noinfo";4,2
"10";5;6;5;6;6;5;6;1;"1";25;"2";"2";"peer-review";5,6
"11";6;6;7;6;5;6;5;1;"1";47;"1";"1";"preprint_noinfo";6
"12";2;7;7;6;5;7;4;1;"1";60;"1";"1";"preprint_noinfo";5,4
"13";6;7;6;5;6;6;7;1;"1";26;"1";"2";"preprint_info";6
"14";6;5;3;5;5;5;6;1;"1";42;"1";"1";"preprint_info";4,8
"15";6;5;6;6;6;6;5;1;"2";40;"2";"2";"preprint_noinfo";5,8
"16";7;7;6;7;7;7;6;1;"1";28;"1";"1";"peer-review";6,8
"17";7;7;7;7;7;7;7;1;"1";38;"1";"2";"peer-review";7
"18";4;5;5;5;4;5;4;1;"1";25;"2";"2";"preprint_noinfo";4,6
"19";5;5;5;6;6;5;6;1;"1";26;"1";"1";"preprint_noinfo";5,4
"20";6;6;7;6;6;6;7;1;"1";33;"2";"2";"preprint_info";6,2
"21";5;6;6;6;5;6;5;1;"1";44;"2";"2";"preprint_noinfo";5,6
"22";6;6;7;6;7;7;7;1;"1";35;"1";"1";"preprint_noinfo";6,4
"24";7;7;7;7;7;7;7;1;"1";50;"1";"1";"peer-review";7
"25";6;4;1;7;3;4;5;1;"1";34;"1";"2";"peer-review";4,2
"26";3;5;1;5;5;4;4;1;"2";26;"1";"2";"preprint_noinfo";3,8
"27";5;5;4;6;4;5;6;1;"1";29;"2";"2";"preprint_noinfo";4,8
"28";5;5;2;6;5;6;5;1;"1";27;"1";"2";"peer-review";4,6
"29";5;5;5;6;6;7;6;1;"1";25;"2";"2";"preprint_noinfo";5,4
"30";7;7;6;7;6;6;7;1;"2";30;"1";"1";"preprint_noinfo";6,6
"31";6;7;7;6;6;7;6;1;"1";26;"1";"1";"preprint_info";6,4
"32";5;4;5;5;5;5;4;1;"1";45;"2";"2";"peer-review";4,8
"33";3;4;3;3;2;5;4;1;"1";36;"1";"2";"preprint_noinfo";3
"34";6;6;7;4;5;5;7;1;"2";37;"2";"2";"preprint_noinfo";5,6
"35";6;6;6;5;6;7;6;1;"1";49;"1";"1";"peer-review";5,8
"36";1;1;1;7;1;4;4;1;"1";58;"2";"2";"preprint_info";2,2
"37";5;6;5;5;5;5;4;1;"1";25;"1";"1";"peer-review";5,2
"38";6;5;6;5;3;5;3;1;"1";44;"1";"1";"preprint_info";5
"40";3;4;4;3;4;5;6;1;"1";37;"2";"2";"peer-review";3,6
"41";6;5;4;5;5;4;3;1;"2";29;"1";"1";"peer-review";5
"42";6;7;1;5;6;5;6;1;"2";35;"2";"2";"peer-review";5
"44";5;5;5;6;4;4;5;1;"1";30;"1";"1";"peer-review";5
"45";6;7;7;6;7;7;6;1;"1";40;"2";"1";"preprint_noinfo";6,6
"46";4;7;1;7;1;3;4;1;"1";35;"2";"2";"preprint_noinfo";4
"47";6;2;2;4;5;3;3;1;"2";44;"1";"2";"peer-review";3,8
"48";5;4;2;2;3;2;2;1;"1";35;"1";"1";"peer-review";3,2
"49";2;4;2;4;1;2;1;1;"1";30;"1";"2";"preprint_info";2,6
"50";1;7;4;1;7;3;7;1;"2";31;"1";"2";"preprint_noinfo";4
"51";3;2;2;4;2;2;1;1;"2";32;"1";"2";"preprint_info";2,6
"52";6;6;6;6;5;6;5;1;"1";30;"1";"1";"preprint_info";5,8
"53";7;6;7;6;7;7;5;1;"1";25;"1";"1";"peer-review";6,6
"54";6;6;7;5;5;6;5;1;"1";30;"1";"1";"preprint_info";5,8
"55";3;4;4;5;5;6;5;1;"1";25;"2";"2";"peer-review";4,2
"56";6;1;2;3;1;4;4;1;"1";35;"1";"2";"preprint_info";2,6
"57";6;6;6;6;5;6;5;1;"2";33;"1";"1";"preprint_noinfo";5,8
"58";6;6;6;6;6;5;5;1;"1";33;"1";"1";"peer-review";6
"59";6;5;6;5;6;5;6;1;"1";40;"2";"2";"preprint_noinfo";5,6
"60";6;6;6;7;6;6;7;1;"1";66;"1";"1";"peer-review";6,2
"61";4;5;4;2;5;4;4;1;"1";42;"1";"2";"peer-review";4
"63";4;4;2;4;4;3;5;1;"2";27;"1";"2";"preprint_info";3,6
"64";1;2;1;6;4;2;1;1;"2";37;"1";"2";"preprint_info";2,8
"65";7;6;6;7;6;7;6;1;"1";29;"1";"1";"preprint_info";6,4
"67";5;6;6;6;4;6;5;1;"1";29;"2";"2";"preprint_info";5,4
"68";4;4;2;4;4;4;4;1;"2";27;"1";"2";"preprint_info";3,6
"69";3;4;1;2;3;2;3;1;"2";20;"1";"1";"preprint_noinfo";2,6
"71";6;3;3;3;3;2;3;1;"2";29;"1";"2";"preprint_info";3,6
"72";6;6;4;5;6;6;5;1;"1";40;"2";"2";"preprint_noinfo";5,4
"73";5;3;4;6;5;5;5;1;"1";69;"1";"1";"peer-review";4,6
"74";6;6;6;5;6;6;6;1;"1";40;"1";"1";"peer-review";5,8
"75";6;5;4;4;5;4;6;1;"1";54;"1";"1";"preprint_noinfo";4,8
"76";6;3;1;6;3;2;4;1;"2";36;"1";"1";"peer-review";3,8
"77";2;5;1;3;1;2;1;1;"1";43;"1";"2";"preprint_info";2,4
"78";6;5;4;5;5;5;5;1;"2";38;"2";"2";"preprint_noinfo";5
"79";2;6;4;4;5;5;6;1;"2";37;"1";"1";"preprint_noinfo";4,2
"80";5;5;5;4;4;4;5;1;"1";45;"2";"2";"preprint_noinfo";4,6
"81";4;3;2;3;6;5;5;1;"1";27;"2";"2";"peer-review";3,6
"82";6;6;6;7;6;6;5;1;"1";30;"2";"2";"preprint_info";6,2
"83";6;7;6;6;6;5;7;1;"1";39;"1";"1";"preprint_info";6,2
"84";3;3;2;4;7;4;3;1;"2";27;"1";"2";"preprint_info";3,8
"85";5;5;5;5;4;5;5;1;"1";38;"2";"2";"peer-review";4,8
"86";4;7;1;7;4;4;5;1;"1";49;"1";"2";"preprint_noinfo";4,6
"87";6;7;7;7;6;7;6;1;"1";32;"1";"1";"preprint_info";6,6
"88";6;6;5;5;6;6;5;1;"1";44;"2";"2";"preprint_info";5,6
"89";6;2;1;7;6;1;1;1;"1";43;"1";"2";"preprint_noinfo";4,4
"90";3;4;4;4;5;4;3;1;"1";40;"2";"1";"peer-review";4
"91";5;7;7;6;5;3;6;1;"2";27;"1";"2";"preprint_info";6
"92";3;4;2;6;5;7;7;1;"1";33;"1";"2";"preprint_info";4
"93";4;4;3;3;4;4;3;1;"2";70;"1";"1";"preprint_noinfo";3,6
"94";6;4;6;5;6;5;6;1;"1";30;"2";"2";"preprint_noinfo";5,4
"96";5;5;6;6;5;5;4;1;"2";24;"2";"2";"preprint_info";5,4
"97";7;4;7;7;7;7;7;1;"2";35;"2";"2";"peer-review";6,4
"98";4;6;5;5;2;5;6;1;"1";34;"1";"2";"preprint_noinfo";4,4
"99";5;6;7;6;7;6;6;1;"1";33;"2";"2";"preprint_noinfo";6,2
"100";6;7;6;5;6;4;7;1;"1";32;"1";"1";"preprint_info";6
"101";6;5;7;6;6;6;6;1;"1";33;"2";"2";"preprint_noinfo";6
"102";7;7;6;7;6;7;7;1;"1";28;"2";"2";"preprint_noinfo";6,6
"103";5;6;6;5;5;6;5;1;"1";28;"2";"2";"peer-review";5,4
"104";4;7;1;3;5;3;7;1;"2";33;"1";"2";"peer-review";4
"105";5;6;6;5;5;5;5;1;"2";35;"2";"2";"preprint_noinfo";5,4
"107";5;2;3;6;5;5;6;1;"1";43;"2";"2";"preprint_noinfo";4,2
"108";6;5;6;4;5;4;5;1;"2";29;"2";"2";"preprint_info";5,2
"109";5;6;3;5;6;2;6;1;"1";25;"2";"2";"preprint_info";5
"110";6;5;5;5;4;4;6;1;"1";26;"2";"2";"peer-review";5
"111";5;5;5;5;5;5;5;1;"1";30;"1";"1";"preprint_noinfo";5
"112";5;5;5;6;6;6;6;1;"2";40;"1";"1";"preprint_noinfo";5,4
"113";6;6;7;5;4;5;6;1;"1";35;"2";"2";"preprint_noinfo";5,6
"114";4;4;3;4;3;3;4;1;"1";30;"1";"1";"preprint_info";3,6
"115";1;1;1;1;1;1;4;1;"1";48;"1";"2";"peer-review";1
"116";6;7;6;5;6;7;6;1;"2";34;"2";"2";"preprint_info";6
"117";3;3;1;2;2;1;3;1;"2";30;"1";"2";"peer-review";2,2
"118";6;7;6;6;6;7;6;1;"1";54;"2";"2";"peer-review";6,2
"119";4;6;5;6;6;5;6;1;"1";25;"2";"2";"preprint_noinfo";5,4
"120";1;7;1;7;7;5;4;1;"1";58;"1";"2";"peer-review";4,6
"121";6;5;3;7;3;6;6;1;"2";47;"1";"2";"preprint_noinfo";4,8
"122";6;6;6;6;5;5;7;1;"1";62;"1";"1";"preprint_noinfo";5,8
"123";5;5;6;6;6;5;6;1;"2";25;"2";"2";"preprint_noinfo";5,6
"124";6;6;4;5;4;6;4;1;"1";41;"2";"2";"preprint_noinfo";5
"125";7;7;6;7;7;6;7;1;"1";49;"1";"2";"peer-review";6,8
"126";5;5;5;5;4;5;6;1;"1";31;"2";"2";"preprint_info";4,8
"127";4;5;4;4;7;4;5;1;"1";38;"1";"1";"preprint_noinfo";4,8
"128";6;5;5;6;5;5;5;1;"1";27;"1";"2";"peer-review";5,4
"129";5;7;2;6;5;4;5;1;"1";43;"1";"2";"preprint_noinfo";5
"130";4;5;2;5;2;3;4;1;"1";56;"1";"2";"peer-review";3,6
"131";6;6;6;6;5;6;6;1;"1";24;"1";"1";"preprint_info";5,8
"132";7;7;6;7;1;7;7;1;"1";35;"2";"2";"preprint_info";5,6
"133";6;5;3;5;5;4;6;1;"2";30;"2";"2";"preprint_info";4,8
"135";4;6;4;5;5;5;6;1;"1";30;"1";"1";"peer-review";4,8
"136";6;6;5;5;6;5;4;1;"1";47;"1";"1";"preprint_info";5,6
"137";6;7;4;7;6;6;6;1;"1";35;"1";"2";"peer-review";6
"138";5;7;6;6;7;6;7;1;"1";32;"1";"1";"preprint_info";6,2
"139";5;6;6;5;5;7;6;1;"1";26;"1";"1";"preprint_info";5,4
"140";5;5;5;7;6;6;6;1;"1";61;"1";"2";"preprint_info";5,6
"141";5;4;2;3;3;2;1;1;"1";45;"1";"2";"preprint_info";3,4
"142";4;4;4;4;3;4;4;1;"1";47;"2";"2";"peer-review";3,8
"143";5;6;1;4;2;3;3;1;"1";26;"1";"2";"preprint_info";3,6
"144";5;6;2;6;6;5;6;1;"2";28;"2";"2";"peer-review";5
"145";6;6;7;7;6;7;6;1;"1";32;"1";"1";"preprint_noinfo";6,4
"146";3;3;2;2;2;1;1;1;"2";31;"1";"1";"preprint_noinfo";2,4
"147";5;4;6;5;2;2;5;1;"1";32;"2";"2";"peer-review";4,4
"148";4;4;6;6;3;6;7;1;"1";40;"2";"2";"preprint_noinfo";4,6
"149";4;5;5;4;5;4;5;1;"1";28;"2";"2";"preprint_info";4,6
"150";6;5;6;7;6;5;5;1;"2";64;"2";"2";"preprint_noinfo";6
"151";4;3;1;6;2;6;5;1;"2";62;"1";"2";"preprint_info";3,2
"152";2;2;2;2;2;1;1;1;"1";47;"1";"1";"preprint_info";2
"153";7;7;7;7;7;7;6;1;"1";30;"1";"1";"peer-review";7
"154";4;6;4;2;4;5;5;1;"1";29;"1";"2";"preprint_info";4
"155";5;6;1;7;2;5;4;1;"1";47;"1";"2";"peer-review";4,2
"156";5;3;2;5;4;6;5;1;"1";40;"1";"1";"preprint_info";3,8
"157";7;7;7;6;6;6;7;1;"2";44;"1";"1";"peer-review";6,6
"158";4;2;1;3;2;3;1;1;"1";55;"1";"1";"preprint_info";2,4
"159";3;6;2;3;5;3;5;1;"2";33;"1";"2";"peer-review";3,8
"160";4;4;1;1;1;1;3;1;"2";44;"1";"2";"preprint_noinfo";2,2
"161";6;4;3;6;5;3;4;1;"1";40;"2";"2";"preprint_noinfo";4,8
"162";5;5;5;5;6;5;4;1;"2";40;"1";"1";"peer-review";5,2
"163";5;7;5;5;4;4;5;1;"2";37;"1";"2";"peer-review";5,2
"164";4;3;5;5;3;5;4;1;"2";31;"2";"2";"peer-review";4
"165";5;5;4;6;4;4;5;1;"1";37;"2";"2";"preprint_noinfo";4,8
"166";4;1;1;5;5;2;3;1;"1";32;"2";"2";"preprint_noinfo";3,2
"167";4;6;5;6;5;3;3;1;"2";26;"1";"2";"preprint_info";5,2
"168";6;7;5;7;6;7;6;1;"2";56;"2";"2";"peer-review";6,2
"169";3;2;1;4;4;1;3;1;"2";49;"1";"2";"preprint_noinfo";2,8
"170";5;5;2;6;2;3;5;1;"1";57;"1";"2";"preprint_info";4
"171";6;5;7;6;7;6;7;1;"1";32;"1";"1";"preprint_noinfo";6,2
"172";6;4;3;6;4;5;5;1;"1";49;"1";"1";"peer-review";4,6
"173";5;3;1;6;2;5;6;1;"1";31;"1";"2";"peer-review";3,4
"174";5;5;2;6;3;5;5;1;"2";41;"1";"2";"preprint_info";4,2
"175";6;5;6;6;4;6;5;1;"2";43;"2";"2";"preprint_noinfo";5,4
"176";4;4;1;5;1;1;1;1;"1";30;"1";"1";"peer-review";3
"177";4;3;6;7;3;5;6;1;"1";25;"1";"1";"preprint_info";4,6
"178";5;4;2;2;3;2;2;1;"1";50;"1";"2";"preprint_noinfo";3,2
"179";1;1;7;7;1;2;5;1;"1";30;"1";"2";"peer-review";3,4
"180";7;5;6;6;4;7;6;1;"2";28;"2";"2";"peer-review";5,6
"182";4;5;5;4;5;4;5;1;"1";42;"1";"2";"peer-review";4,6
"183";5;4;5;5;4;4;5;1;"1";31;"2";"2";"preprint_info";4,6
"184";6;7;2;7;6;4;6;1;"1";56;"1";"2";"preprint_noinfo";5,6
"185";4;7;1;6;3;6;6;1;"1";38;"2";"2";"preprint_info";4,2
"186";6;6;2;6;6;2;2;1;"1";56;"2";"2";"preprint_noinfo";5,2
"187";3;3;4;5;6;5;4;1;"1";20;"1";"2";"preprint_info";4,2
"189";5;6;2;3;6;7;6;1;"1";24;"1";"2";"peer-review";4,4
"190";5;7;6;7;5;6;5;1;"1";30;"1";"1";"preprint_noinfo";6
"191";5;6;5;6;5;6;6;1;"2";41;"2";"1";"preprint_info";5,4
"192";7;7;7;5;5;7;7;1;"1";18;"1";"1";"peer-review";6,2
"193";3;5;1;4;3;4;3;1;"1";37;"1";"2";"preprint_info";3,2
"194";5;6;5;6;6;5;5;1;"2";29;"2";"2";"peer-review";5,6
"195";5;4;2;5;3;1;1;1;"1";47;"1";"2";"peer-review";3,8
"196";4;4;5;4;5;3;4;1;"1";32;"2";"2";"preprint_info";4,4
"197";3;5;2;6;3;2;5;1;"1";20;"1";"2";"peer-review";3,8
"198";6;4;5;4;5;4;6;1;"1";32;"2";"2";"preprint_info";4,8
"199";7;6;6;5;4;6;6;1;"1";29;"2";"2";"preprint_info";5,6
"200";6;7;7;7;6;7;6;1;"1";29;"1";"1";"preprint_noinfo";6,6
"201";5;4;5;4;5;5;4;1;"2";61;"1";"1";"preprint_noinfo";4,6
"202";6;5;6;5;5;6;5;1;"1";32;"2";"2";"preprint_info";5,4
"203";5;5;2;6;2;2;3;1;"2";40;"2";"2";"preprint_noinfo";4
"204";4;7;2;7;5;5;5;1;"2";36;"2";"2";"preprint_noinfo";5
"205";6;7;7;7;6;6;7;1;"1";30;"1";"1";"peer-review";6,6
"206";3;5;3;5;3;3;3;1;"2";27;"2";"2";"preprint_noinfo";3,8
"207";6;6;7;6;6;6;6;1;"2";37;"2";"2";"peer-review";6,2
"208";5;3;4;2;3;3;4;1;"2";26;"2";"2";"preprint_noinfo";3,4
"209";6;6;5;6;6;5;6;1;"1";36;"1";"1";"preprint_noinfo";5,8
"210";5;3;5;4;5;6;5;1;"2";25;"2";"2";"preprint_noinfo";4,4
"211";4;3;3;6;5;4;5;1;"1";18;"1";"2";"preprint_noinfo";4,2
"213";7;6;6;6;5;6;7;1;"1";30;"1";"1";"preprint_noinfo";6
"214";3;7;2;6;6;6;5;1;"2";26;"1";"2";"preprint_noinfo";4,8
"215";7;7;2;4;6;4;6;1;"1";38;"2";"2";"peer-review";5,2
"216";7;6;6;6;6;7;7;1;"1";50;"1";"1";"preprint_noinfo";6,2
"217";5;5;5;5;3;5;6;1;"1";30;"2";"2";"peer-review";4,6
"219";4;5;2;4;3;3;3;1;"2";32;"2";"2";"peer-review";3,6
"220";6;7;2;4;6;6;6;1;"1";66;"1";"2";"preprint_noinfo";5
"221";6;3;1;5;5;1;1;1;"1";54;"1";"2";"preprint_noinfo";4
"222";6;6;6;6;5;6;6;1;"1";25;"1";"1";"peer-review";5,8
"223";3;5;4;6;6;5;4;1;"2";25;"2";"2";"preprint_noinfo";4,8
"224";6;6;3;6;4;5;5;1;"1";39;"1";"2";"peer-review";5
"225";4;4;2;4;2;5;5;1;"1";40;"2";"2";"preprint_noinfo";3,2
"226";3;3;1;6;1;1;1;1;"1";70;"1";"2";"preprint_noinfo";2,8
"227";6;6;6;4;7;6;6;1;"2";35;"2";"2";"preprint_info";5,8
"229";6;5;5;5;5;5;5;1;"2";37;"2";"2";"peer-review";5,2
"230";6;6;3;4;5;4;4;1;"1";42;"1";"1";"preprint_noinfo";4,8
"232";4;4;1;5;2;2;2;1;"1";60;"1";"2";"preprint_info";3,2
"233";7;6;1;5;3;4;5;1;"1";30;"1";"2";"preprint_noinfo";4,4
"234";5;5;5;5;5;5;5;1;"2";47;"2";"2";"preprint_noinfo";5
"235";5;6;5;5;4;2;3;1;"1";37;"1";"1";"preprint_info";5
"236";7;7;7;6;7;7;7;1;"1";25;"1";"1";"preprint_info";6,8
"238";6;6;5;6;6;6;7;1;"1";30;"1";"1";"preprint_info";5,8
"239";7;5;7;7;4;7;7;1;"2";37;"2";"2";"preprint_info";6
"240";4;5;2;5;3;6;5;1;"1";21;"1";"2";"preprint_noinfo";3,8
"241";5;4;6;6;5;6;5;1;"2";64;"2";"2";"preprint_info";5,2
"242";6;4;1;5;3;4;5;1;"1";27;"1";"2";"preprint_noinfo";3,8
"243";6;2;1;3;1;6;1;1;"1";35;"2";"2";"preprint_info";2,6
"244";6;1;2;7;1;2;2;1;"2";29;"1";"2";"preprint_noinfo";3,4
"245";5;6;6;5;6;5;6;1;"1";57;"2";"2";"preprint_info";5,6
"246";7;3;1;4;4;2;3;1;"1";48;"1";"2";"preprint_noinfo";3,8
"247";3;3;2;2;3;3;5;1;"2";37;"1";"2";"preprint_info";2,6
"248";5;5;4;6;4;5;4;1;"1";30;"1";"2";"preprint_info";4,8
"249";5;3;3;6;6;5;5;1;"1";42;"1";"2";"peer-review";4,6
"250";4;5;2;2;3;3;6;1;"1";31;"1";"1";"peer-review";3,2
"251";6;5;5;5;5;5;6;1;"1";25;"1";"1";"preprint_info";5,2
"252";7;7;7;7;7;7;7;1;"2";40;"1";"1";"preprint_noinfo";7
"253";7;7;2;7;7;7;7;1;"2";57;"1";"1";"peer-review";6
"254";6;5;6;5;6;7;6;1;"2";32;"1";"1";"preprint_info";5,6
"255";5;4;5;6;6;6;6;1;"1";41;"2";"2";"preprint_noinfo";5,2
"256";4;5;4;5;2;4;3;1;"1";29;"1";"2";"peer-review";4
"257";6;5;1;2;2;3;3;1;"1";33;"1";"2";"preprint_noinfo";3,2
"258";5;5;6;6;5;7;4;1;"2";30;"1";"1";"preprint_info";5,4
"259";6;5;5;6;5;5;6;1;"1";30;"2";"2";"preprint_noinfo";5,4
"260";4;5;3;5;3;4;5;1;"2";50;"2";"2";"preprint_noinfo";4
"261";3;6;4;5;3;2;4;1;"2";28;"2";"2";"peer-review";4,2
"262";4;4;2;3;2;3;3;1;"1";23;"2";"2";"preprint_info";3
"263";5;2;2;3;4;2;4;1;"1";65;"1";"2";"preprint_info";3,2
"264";5;7;4;5;7;5;4;1;"1";45;"2";"2";"peer-review";5,6
"265";4;5;4;4;5;5;5;1;"2";32;"2";"2";"preprint_info";4,4
"266";6;6;6;6;6;6;6;1;"1";25;"1";"1";"peer-review";6
"267";6;7;6;6;4;5;4;1;"1";28;"2";"2";"preprint_info";5,8
"268";6;5;5;6;6;6;5;1;"1";30;"2";"2";"preprint_noinfo";5,6
"269";6;5;2;5;2;5;5;1;"2";56;"1";"2";"peer-review";4
"270";4;5;1;6;1;3;3;1;"2";34;"2";"2";"preprint_info";3,4
"271";5;3;4;4;2;4;5;1;"2";30;"2";"2";"peer-review";3,6
"272";5;7;5;6;7;5;6;1;"2";36;"1";"1";"preprint_noinfo";6
"273";6;5;5;5;4;6;5;1;"1";30;"1";"1";"preprint_noinfo";5
"274";6;6;4;4;5;4;5;1;"2";55;"1";"2";"preprint_info";5
"275";6;7;2;1;1;6;6;1;"1";39;"2";"2";"peer-review";3,4
"276";7;6;6;6;6;6;6;1;"1";30;"2";"2";"preprint_info";6,2
"277";6;6;2;7;4;5;5;1;"1";36;"1";"2";"peer-review";5
"279";6;5;5;6;6;6;5;1;"1";29;"1";"1";"peer-review";5,6
"280";5;5;3;5;4;4;4;1;"1";30;"1";"2";"preprint_noinfo";4,4
"281";6;2;7;5;1;6;5;1;"1";28;"2";"2";"preprint_info";4,2
"282";7;6;6;7;6;5;6;1;"1";52;"2";"2";"preprint_info";6,4
"283";4;7;4;7;6;7;7;1;"1";28;"2";"2";"peer-review";5,6
"284";5;5;3;6;6;6;5;1;"1";26;"2";"2";"preprint_noinfo";5
"285";6;5;2;6;1;1;2;1;"2";45;"2";"2";"peer-review";4
"286";6;6;6;6;5;6;5;1;"1";30;"2";"2";"preprint_noinfo";5,8
"287";6;6;7;6;6;6;5;1;"2";47;"1";"1";"peer-review";6,2
"288";6;7;4;6;6;4;5;1;"2";70;"2";"2";"preprint_info";5,8
"289";6;6;4;5;7;6;5;1;"1";32;"2";"2";"preprint_info";5,6
"290";5;4;5;6;4;6;4;1;"1";32;"1";"1";"preprint_noinfo";4,8
"292";4;3;5;6;3;4;5;1;"2";26;"1";"2";"peer-review";4,2
"293";5;4;1;1;3;1;2;1;"1";25;"1";"2";"preprint_noinfo";2,8
"294";4;5;1;6;5;4;5;1;"1";32;"1";"2";"preprint_noinfo";4,2
"295";6;4;2;4;6;5;5;1;"1";45;"1";"2";"peer-review";4,4
"296";6;5;6;4;6;6;5;1;"2";24;"2";"2";"preprint_noinfo";5,4
"297";4;7;2;5;1;5;6;1;"1";36;"2";"2";"peer-review";3,8
"298";7;3;5;5;6;3;3;1;"2";26;"2";"2";"preprint_info";5,2
"299";4;5;3;3;2;3;5;1;"2";22;"1";"2";"preprint_noinfo";3,4
"300";4;4;5;4;5;4;5;1;"2";47;"1";"2";"preprint_noinfo";4,4
"301";2;4;1;3;2;2;3;1;"2";43;"1";"2";"preprint_info";2,4
"302";1;1;1;3;1;1;1;1;"2";39;"1";"2";"peer-review";1,4
"303";6;6;1;4;1;3;4;1;"1";36;"1";"2";"peer-review";3,6
"304";5;6;2;5;4;4;5;1;"1";30;"1";"1";"preprint_noinfo";4,4
