"";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"Attention.check";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"condition";"credibility"
"305";5;4;4;4;4;4;6;1;"1";25;"2";"2";"preprint_noinfo";4,2
"306";5;5;5;2;7;2;5;1;"1";27;"1";"2";"preprint_info";4,8
"307";4;4;5;5;3;7;6;1;"1";28;"2";"2";"preprint_info";4,2
"309";5;5;4;5;5;4;4;1;"1";43;"1";"1";"peer-review";4,8
"310";5;4;5;6;5;4;5;1;"1";25;"1";"2";"peer-review";5
"311";4;4;4;5;2;4;1;1;"1";34;"2";"2";"preprint_info";3,8
"312";6;5;2;6;3;1;2;1;"1";33;"1";"1";"preprint_info";4,4
"313";5;5;1;7;2;1;1;1;"1";45;"2";"2";"preprint_noinfo";4
"314";7;7;7;7;1;7;7;1;"1";25;"2";"2";"preprint_noinfo";5,8
"315";6;6;4;6;5;5;6;1;"1";64;"1";"2";"preprint_info";5,4
"316";4;5;2;3;6;6;4;1;"1";36;"2";"2";"preprint_info";4
"317";5;7;2;7;3;5;6;1;"1";31;"1";"2";"peer-review";4,8
"318";4;5;4;4;4;4;4;1;"1";42;"2";"2";"preprint_noinfo";4,2
"319";6;6;2;6;7;6;6;1;"1";31;"1";"2";"preprint_noinfo";5,4
"320";6;6;6;6;6;6;7;1;"1";30;"1";"1";"preprint_info";6
"321";5;4;4;4;4;3;4;1;"2";42;"2";"2";"preprint_info";4,2
"322";5;6;6;6;6;5;6;1;"1";35;"1";"1";"peer-review";5,8
"323";3;4;2;4;5;4;3;1;"2";49;"1";"2";"preprint_info";3,6
"324";6;5;5;6;4;6;6;1;"2";34;"2";"2";"preprint_info";5,2
"325";6;2;2;6;4;6;5;1;"2";46;"2";"2";"preprint_info";4
"327";4;4;1;3;1;2;3;1;"2";32;"1";"2";"peer-review";2,6
"328";6;6;6;5;6;5;6;1;"1";35;"1";"1";"preprint_info";5,8
"329";6;5;5;4;4;5;5;1;"2";27;"2";"2";"preprint_noinfo";4,8
"330";7;6;4;6;6;4;6;1;"2";62;"2";"2";"peer-review";5,8
"331";5;4;1;5;4;2;2;1;"2";50;"1";"2";"preprint_info";3,8
"332";1;1;1;1;1;1;3;1;"1";34;"1";"2";"peer-review";1
"333";5;4;6;6;4;4;6;1;"1";30;"1";"1";"preprint_noinfo";5
"334";7;5;2;4;6;4;5;1;"1";27;"1";"2";"preprint_info";4,8
"335";4;5;6;6;5;6;5;1;"2";47;"1";"1";"preprint_noinfo";5,2
"336";1;6;1;7;1;1;1;1;"2";42;"1";"2";"preprint_noinfo";3,2
"337";6;6;7;6;4;6;7;1;"1";26;"2";"2";"preprint_info";5,8
"338";7;5;4;5;5;4;5;1;"1";30;"1";"1";"preprint_info";5,2
"339";4;6;5;5;5;6;5;1;"2";30;"1";"2";"preprint_info";5
"340";7;7;7;7;1;6;7;1;"1";36;"1";"1";"preprint_noinfo";5,8
"341";3;3;3;3;3;3;3;1;"2";20;"1";"2";"preprint_noinfo";3
"342";6;5;1;6;1;3;5;1;"2";50;"1";"2";"peer-review";3,8
"343";5;5;3;3;2;3;4;1;"2";32;"1";"2";"preprint_info";3,6
"345";6;5;6;5;3;3;4;1;"1";32;"2";"2";"peer-review";5
"346";5;6;6;7;5;6;5;1;"1";55;"2";"1";"preprint_noinfo";5,8
"347";1;7;5;7;1;5;5;1;"2";30;"2";"2";"peer-review";4,2
"348";3;6;1;3;5;5;7;1;"1";22;"1";"1";"preprint_noinfo";3,6
"349";5;5;3;6;3;5;5;1;"1";30;"2";"2";"preprint_info";4,4
"350";6;6;6;5;7;6;5;1;"2";40;"1";"1";"peer-review";6
"351";6;6;5;5;3;5;7;1;"1";37;"1";"1";"peer-review";5
"352";7;7;3;7;3;6;6;1;"1";54;"1";"2";"preprint_noinfo";5,4
"353";4;5;4;5;4;4;5;1;"1";47;"1";"1";"preprint_info";4,4
"354";6;5;4;7;3;6;5;1;"2";25;"1";"1";"preprint_info";5
"355";5;5;6;6;4;4;5;1;"2";51;"1";"1";"preprint_info";5,2
"356";4;5;5;3;7;6;6;1;"1";38;"2";"2";"peer-review";4,8
"357";6;6;5;5;7;5;4;1;"2";46;"2";"2";"peer-review";5,8
"358";5;3;2;5;6;6;5;1;"1";47;"1";"1";"preprint_noinfo";4,2
"359";5;5;2;3;2;3;3;1;"2";41;"1";"1";"preprint_noinfo";3,4
"360";5;4;6;4;5;4;5;1;"1";32;"2";"2";"preprint_info";4,8
"361";5;6;6;5;6;7;6;1;"1";30;"1";"1";"preprint_noinfo";5,6
"362";5;5;2;4;3;5;6;1;"1";64;"1";"2";"peer-review";3,8
"363";4;6;2;3;6;5;4;1;"1";32;"1";"1";"preprint_info";4,2
"364";4;4;5;3;5;5;4;1;"2";32;"1";"1";"peer-review";4,2
"365";6;7;7;6;6;6;6;1;"1";32;"1";"1";"peer-review";6,4
"366";5;4;4;5;4;4;4;1;"2";27;"1";"2";"preprint_noinfo";4,4
"367";4;4;2;5;3;3;3;1;"1";33;"1";"2";"preprint_info";3,6
"368";7;7;5;5;5;5;5;1;"1";33;"2";"2";"peer-review";5,8
"369";7;7;7;7;7;7;7;1;"1";50;"1";"1";"peer-review";7
"370";4;5;5;3;5;5;6;1;"1";43;"2";"2";"peer-review";4,4
"371";4;5;5;4;6;5;6;1;"1";29;"2";"2";"preprint_info";4,8
"372";7;7;6;7;7;6;7;1;"1";27;"1";"2";"preprint_info";6,8
"373";4;5;3;5;3;4;5;1;"1";54;"1";"1";"preprint_noinfo";4
"374";5;6;2;4;2;4;5;1;"2";45;"2";"2";"peer-review";3,8
"376";4;7;1;4;1;7;7;1;"2";44;"2";"2";"preprint_noinfo";3,4
"377";7;6;6;6;6;5;6;1;"2";47;"1";"1";"preprint_info";6,2
"378";6;6;7;6;6;7;6;1;"1";39;"2";"2";"preprint_noinfo";6,2
"381";5;4;2;3;2;2;3;1;"2";53;"2";"2";"peer-review";3,2
"382";7;6;3;5;6;4;6;1;"1";32;"1";"1";"preprint_info";5,4
"383";6;4;1;6;2;4;6;1;"1";29;"2";"2";"peer-review";3,8
"384";5;7;2;7;6;6;5;1;"1";22;"2";"2";"peer-review";5,4
"385";7;7;5;5;6;6;7;1;"1";31;"1";"1";"preprint_info";6
"386";6;5;4;5;4;4;4;1;"1";21;"1";"1";"peer-review";4,8
"387";4;5;4;4;5;5;4;1;"1";52;"2";"1";"preprint_info";4,4
"388";5;2;2;4;2;4;3;1;"2";56;"2";"2";"peer-review";3
"389";4;5;5;6;6;4;5;1;"2";25;"2";"2";"preprint_info";5,2
"390";5;3;3;4;4;4;4;1;"2";32;"2";"2";"peer-review";3,8
"392";5;4;6;3;5;4;5;1;"1";39;"2";"2";"preprint_noinfo";4,6
"393";3;4;2;5;2;3;3;1;"1";28;"1";"1";"preprint_info";3,2
"394";6;6;2;1;4;5;4;1;"2";49;"2";"2";"preprint_noinfo";3,8
"395";4;6;2;5;6;5;6;1;"2";40;"2";"2";"preprint_info";4,6
"396";5;3;6;6;3;5;4;1;"1";28;"1";"2";"preprint_info";4,6
"397";6;5;5;6;1;5;5;1;"2";34;"2";"2";"preprint_info";4,6
"398";6;6;3;7;4;2;5;1;"2";55;"1";"1";"preprint_noinfo";5,2
"400";6;4;2;4;1;3;3;1;"1";31;"1";"2";"peer-review";3,4
"401";5;5;4;4;3;4;4;1;"1";43;"1";"2";"peer-review";4,2
"402";4;6;4;3;2;4;4;1;"2";34;"2";"2";"preprint_noinfo";3,8
"403";6;5;5;6;5;5;5;1;"2";59;"1";"2";"peer-review";5,4
"404";2;4;4;3;3;3;4;1;"2";39;"1";"1";"peer-review";3,2
"405";6;4;5;5;6;5;4;1;"2";38;"1";"1";"preprint_noinfo";5,2
"406";5;3;1;5;1;4;3;1;"1";27;"1";"2";"preprint_noinfo";3
"407";4;5;4;5;6;6;3;1;"1";35;"2";"2";"preprint_info";4,8
"408";6;7;5;7;7;5;7;1;"1";41;"1";"2";"preprint_noinfo";6,4
"409";7;3;5;3;6;6;6;1;"3";30;"1";"2";"peer-review";4,8
"410";4;5;4;4;5;4;5;1;"2";62;"2";"2";"preprint_noinfo";4,4
"411";7;7;1;7;1;4;7;1;"2";54;"2";"2";"peer-review";4,6
"412";5;5;5;6;5;5;6;1;"1";33;"1";"1";"preprint_info";5,2
"413";6;5;2;6;7;5;5;1;"1";46;"2";"2";"preprint_info";5,2
"414";5;5;4;5;5;4;4;1;"2";35;"1";"2";"peer-review";4,8
"415";6;6;7;6;6;5;6;1;"2";47;"1";"1";"peer-review";6,2
"416";7;2;5;6;3;6;2;1;"1";52;"1";"2";"preprint_info";4,6
"417";4;4;4;3;3;3;3;1;"2";40;"1";"2";"peer-review";3,6
"418";5;5;3;6;5;3;5;1;"1";50;"1";"2";"preprint_info";4,8
"419";4;6;2;2;3;3;5;1;"2";35;"2";"2";"preprint_info";3,4
"420";3;6;5;5;5;4;5;1;"2";36;"2";"2";"preprint_info";4,8
"421";1;2;1;3;1;2;2;1;"1";48;"2";"2";"preprint_info";1,6
"422";7;6;7;7;7;7;6;1;"1";34;"1";"1";"peer-review";6,8
"423";5;6;7;6;6;7;6;1;"1";44;"2";"2";"preprint_noinfo";6
"424";6;6;3;6;5;3;3;1;"2";64;"1";"2";"preprint_noinfo";5,2
"425";6;3;1;5;1;3;4;1;"2";50;"2";"2";"peer-review";3,2
"426";5;5;6;4;5;5;4;1;"1";39;"2";"2";"peer-review";5
"427";5;3;4;1;2;7;6;1;"2";30;"1";"1";"preprint_noinfo";3
"428";4;5;4;3;4;4;4;1;"1";35;"1";"2";"preprint_info";4
"429";6;6;7;6;6;6;5;1;"1";55;"1";"1";"preprint_noinfo";6,2
"430";7;7;7;7;7;7;7;1;"1";30;"1";"1";"preprint_noinfo";7
"431";5;6;6;6;6;6;5;1;"1";35;"1";"1";"preprint_info";5,8
"432";6;6;2;6;4;6;6;1;"1";39;"1";"2";"preprint_noinfo";4,8
"433";6;6;5;5;6;6;5;1;"1";30;"2";"2";"preprint_info";5,6
"434";6;6;4;6;2;5;5;1;"2";27;"1";"2";"preprint_noinfo";4,8
"435";3;2;3;6;4;3;5;1;"1";62;"1";"1";"peer-review";3,6
"436";7;7;2;7;5;5;6;1;"2";36;"1";"1";"preprint_noinfo";5,6
"437";2;6;5;2;2;5;6;1;"2";64;"2";"2";"peer-review";3,4
"438";7;5;6;6;5;6;5;1;"2";52;"1";"1";"peer-review";5,8
"439";7;6;3;6;6;7;7;1;"1";34;"2";"2";"peer-review";5,6
"440";6;6;6;3;6;5;6;1;"1";35;"1";"1";"preprint_info";5,4
"441";3;4;1;6;5;6;5;1;"1";46;"1";"2";"peer-review";3,8
"442";5;5;2;6;2;3;2;1;"1";34;"1";"2";"peer-review";4
"443";5;5;5;4;6;6;5;1;"1";32;"1";"1";"preprint_noinfo";5
"444";3;6;4;4;5;4;4;1;"1";30;"1";"2";"peer-review";4,4
"445";6;4;3;7;6;5;5;1;"1";24;"1";"2";"preprint_noinfo";5,2
"446";6;6;6;2;6;5;6;1;"1";35;"2";"2";"preprint_noinfo";5,2
"447";7;6;4;5;6;5;6;1;"2";58;"2";"2";"preprint_noinfo";5,6
"448";5;2;2;6;4;5;5;1;"1";34;"1";"2";"preprint_info";3,8
"449";6;6;3;5;2;6;4;1;"2";32;"2";"2";"peer-review";4,4
"450";3;5;2;3;4;3;4;1;"1";37;"1";"2";"preprint_noinfo";3,4
"451";1;7;1;1;7;4;4;1;"2";53;"2";"2";"peer-review";3,4
"452";3;2;2;6;6;2;5;1;"1";33;"2";"2";"peer-review";3,8
"453";7;7;1;7;1;7;6;1;"1";36;"1";"1";"preprint_info";4,6
"454";5;4;4;6;3;4;3;1;"1";23;"1";"2";"preprint_info";4,4
"455";6;7;6;7;7;7;6;1;"2";40;"1";"1";"peer-review";6,6
"456";5;3;2;6;6;3;2;1;"2";44;"1";"1";"preprint_noinfo";4,4
"457";3;7;3;5;3;3;3;1;"2";62;"2";"2";"preprint_noinfo";4,2
"458";6;5;6;3;5;5;5;1;"2";35;"1";"2";"peer-review";5
"459";3;3;4;4;4;3;3;1;"2";36;"2";"2";"preprint_noinfo";3,6
"460";4;5;5;5;5;4;NA;1;"1";30;"1";"1";"preprint_info";4,8
"461";6;5;6;5;5;4;5;1;"1";33;"2";"2";"peer-review";5,4
"462";2;3;7;7;6;6;5;1;"1";31;"1";"1";"peer-review";5
"463";7;7;6;6;7;6;6;1;"1";28;"1";"1";"preprint_noinfo";6,6
"464";5;5;6;6;5;5;6;1;"1";30;"2";"2";"peer-review";5,4
"465";6;6;6;6;6;6;6;1;"1";47;"1";"1";"preprint_info";6
"466";6;5;6;5;4;7;7;1;"1";58;"2";"2";"preprint_info";5,2
"467";4;4;4;4;4;4;4;1;"1";24;"1";"2";"preprint_info";4
"468";5;5;3;7;2;4;5;1;"2";52;"1";"2";"peer-review";4,4
"469";5;3;3;6;6;5;4;1;"2";54;"2";"2";"preprint_info";4,6
"470";4;5;3;5;4;3;5;1;"2";44;"1";"2";"preprint_info";4,2
"471";5;2;2;6;2;2;2;1;"1";64;"1";"2";"preprint_noinfo";3,4
"472";5;3;5;5;5;5;5;1;"2";42;"2";"2";"peer-review";4,6
"474";6;5;1;5;6;5;5;1;"2";65;"2";"2";"preprint_info";4,6
"476";6;5;5;6;5;5;5;1;"2";38;"1";"2";"preprint_noinfo";5,4
"477";2;2;1;2;2;2;2;1;"2";44;"1";"2";"preprint_info";1,8
"478";5;5;4;6;2;5;4;1;"1";26;"1";"2";"preprint_info";4,4
"480";5;6;3;6;2;4;4;1;"2";31;"1";"2";"preprint_info";4,4
"481";6;6;6;6;6;7;6;1;"2";51;"1";"1";"preprint_noinfo";6
"482";4;7;5;5;5;5;7;1;"1";28;"2";"2";"preprint_noinfo";5,2
"483";5;7;5;6;3;5;6;1;"1";47;"2";"2";"preprint_info";5,2
"484";5;5;4;5;6;3;4;1;"2";37;"2";"2";"preprint_info";5
"485";5;5;5;4;5;4;6;1;"1";28;"2";"2";"preprint_noinfo";4,8
"486";6;6;6;6;6;6;5;1;"2";42;"2";"1";"preprint_info";6
"487";5;7;4;7;5;4;4;1;"2";38;"1";"2";"peer-review";5,6
"488";7;7;4;6;4;2;3;1;"1";32;"1";"1";"peer-review";5,6
"489";6;6;2;4;4;4;5;1;"2";63;"1";"1";"peer-review";4,4
"490";7;5;4;7;6;6;6;1;"2";46;"1";"2";"preprint_noinfo";5,8
"491";5;5;4;4;5;5;5;1;"1";34;"2";"2";"peer-review";4,6
"492";2;1;3;7;2;5;5;1;"1";51;"1";"2";"peer-review";3
"493";7;4;5;2;6;5;7;1;"2";36;"2";"2";"preprint_info";4,8
"494";6;6;2;6;7;2;2;1;"1";66;"2";"2";"preprint_noinfo";5,4
"495";7;6;4;4;5;6;5;1;"1";32;"2";"2";"peer-review";5,2
"496";3;3;1;6;2;4;4;1;"1";59;"1";"1";"preprint_info";3
"497";5;6;6;6;6;6;5;1;"2";40;"1";"1";"preprint_noinfo";5,8
"499";2;4;1;1;2;2;2;1;"1";46;"1";"1";"peer-review";2
"500";6;6;3;2;6;3;3;1;"1";32;"1";"2";"peer-review";4,6
"501";6;5;5;7;6;6;5;1;"1";20;"1";"2";"preprint_info";5,8
"502";5;4;2;3;2;3;3;1;"2";37;"1";"2";"preprint_noinfo";3,2
"503";4;5;6;4;6;5;6;1;"1";29;"2";"2";"peer-review";5
"504";7;6;6;6;7;6;7;1;"1";30;"1";"1";"preprint_info";6,4
"505";5;6;2;4;3;3;4;1;"1";45;"2";"2";"peer-review";4
"506";5;5;5;6;5;6;5;1;"2";25;"2";"2";"preprint_noinfo";5,2
"507";5;5;5;5;5;5;5;1;"1";27;"2";"2";"peer-review";5
"508";6;6;6;6;6;6;6;1;"1";28;"1";"1";"preprint_noinfo";6
"509";5;7;5;7;3;5;7;1;"1";35;"2";"2";"peer-review";5,4
"510";2;2;2;2;2;1;1;1;"1";38;"1";"2";"preprint_info";2
"512";3;4;4;2;5;3;4;1;"1";24;"2";"2";"peer-review";3,6
"513";6;3;5;6;6;5;6;1;"1";32;"1";"1";"preprint_noinfo";5,2
"514";2;2;2;2;5;4;2;1;"2";68;"2";"2";"preprint_info";2,6
"516";5;5;4;5;5;6;5;1;"1";30;"1";"1";"preprint_noinfo";4,8
"518";5;5;5;6;5;6;5;1;"1";47;"2";"2";"preprint_noinfo";5,2
"519";4;5;6;2;4;6;5;1;"1";50;"2";"2";"preprint_noinfo";4,2
"520";7;6;6;6;6;6;7;1;"1";38;"1";"1";"preprint_noinfo";6,2
"521";4;4;4;7;4;5;5;1;"2";33;"1";"2";"preprint_info";4,6
"522";5;5;4;6;2;4;5;1;"1";35;"1";"2";"peer-review";4,4
"523";4;6;1;2;5;3;3;1;"2";47;"1";"2";"preprint_info";3,6
"524";4;5;4;3;4;4;4;1;"2";49;"2";"2";"peer-review";4
"525";5;6;2;6;7;1;1;1;"2";30;"1";"2";"preprint_info";5,2
"526";6;6;2;6;4;6;6;1;"1";39;"1";"2";"peer-review";4,8
"527";5;5;2;6;2;2;3;1;"2";63;"2";"2";"preprint_noinfo";4
"528";3;6;4;5;6;5;2;1;"1";27;"1";"2";"preprint_noinfo";4,8
"529";5;3;4;3;5;4;5;1;"2";27;"2";"2";"peer-review";4
"530";4;5;3;3;5;4;5;1;"2";37;"1";"2";"peer-review";4
"531";4;4;4;4;4;5;4;1;"1";45;"2";"2";"peer-review";4
"532";7;5;4;5;3;4;5;1;"1";33;"1";"2";"peer-review";4,8
"533";2;3;2;4;2;2;2;1;"2";54;"1";"2";"preprint_noinfo";2,6
"534";6;5;2;5;6;3;5;1;"2";28;"1";"2";"preprint_noinfo";4,8
"535";5;5;3;6;3;1;2;1;"2";39;"2";"2";"preprint_info";4,4
"536";5;3;2;5;3;4;5;1;"1";27;"1";"2";"peer-review";3,6
"537";5;4;2;6;3;5;4;1;"1";31;"2";"2";"preprint_noinfo";4
"538";7;6;1;7;5;4;4;1;"1";58;"1";"2";"preprint_noinfo";5,2
"539";1;6;1;4;7;7;7;1;"1";68;"1";"2";"peer-review";3,8
"540";6;6;2;5;4;4;3;1;"1";55;"1";"2";"preprint_noinfo";4,6
"541";2;2;2;2;1;3;2;1;"2";25;"1";"1";"preprint_noinfo";1,8
"542";4;4;4;4;4;4;4;1;"1";49;"1";"1";"preprint_info";4
"543";7;7;7;7;7;7;7;1;"2";35;"1";"1";"peer-review";7
"544";5;4;1;7;4;5;5;1;"2";37;"2";"2";"peer-review";4,2
"545";6;2;2;3;2;2;2;1;"1";55;"1";"2";"preprint_noinfo";3
"546";4;2;1;4;2;4;5;1;"2";37;"2";"2";"peer-review";2,6
"547";5;6;5;4;5;6;6;1;"1";38;"2";"2";"preprint_noinfo";5
"548";3;3;6;7;5;2;4;1;"1";36;"2";"2";"preprint_noinfo";4,8
"549";3;3;1;2;1;3;4;1;"2";36;"1";"2";"preprint_info";2
"550";6;4;1;7;2;6;5;1;"2";58;"1";"2";"peer-review";4
"551";6;6;7;6;5;6;3;1;"2";47;"1";"1";"peer-review";6
"552";4;4;2;6;2;3;1;1;"2";41;"2";"2";"preprint_info";3,6
"553";6;5;1;3;5;5;5;1;"1";39;"1";"2";"peer-review";4
"554";5;5;5;4;4;4;5;1;"2";23;"2";"2";"preprint_info";4,6
"555";2;3;1;7;5;1;2;1;"1";40;"1";"2";"preprint_info";3,6
"556";7;7;2;5;2;4;6;1;"1";30;"1";"1";"peer-review";4,6
"557";2;5;3;7;2;2;4;1;"2";21;"2";"2";"preprint_info";3,8
"558";5;5;7;6;6;5;7;1;"2";39;"1";"1";"peer-review";5,8
"559";6;5;5;6;5;5;6;1;"1";45;"2";"2";"peer-review";5,4
"560";5;4;3;5;6;3;5;1;"2";35;"1";"2";"peer-review";4,6
"561";5;3;3;4;3;4;4;1;"1";30;"2";"2";"preprint_noinfo";3,6
"562";2;3;1;1;1;1;3;1;"1";39;"1";"2";"preprint_noinfo";1,6
"563";2;2;5;6;5;3;4;1;"1";42;"2";"2";"preprint_info";4
"564";5;4;5;5;4;5;6;1;"2";32;"2";"2";"peer-review";4,6
"565";7;6;7;6;6;6;6;1;"2";29;"2";"2";"preprint_info";6,4
"566";7;7;6;7;6;7;6;1;"1";30;"2";"2";"preprint_noinfo";6,6
"567";5;6;6;6;6;6;6;1;"1";37;"1";"1";"preprint_info";5,8
"568";6;6;2;3;3;5;5;1;"1";31;"2";"2";"preprint_noinfo";4
"569";4;6;3;5;2;4;4;1;"2";42;"1";"1";"peer-review";4
"570";4;3;2;3;2;2;1;1;"1";44;"1";"2";"peer-review";2,8
"571";6;6;6;7;4;5;6;1;"2";47;"2";"2";"peer-review";5,8
"572";6;6;7;6;7;7;6;1;"1";32;"2";"2";"preprint_noinfo";6,4
"573";5;4;6;5;3;4;6;1;"1";27;"2";"2";"preprint_noinfo";4,6
"574";5;5;2;2;3;4;4;1;"1";49;"1";"2";"peer-review";3,4
"575";4;4;4;4;4;4;4;1;"2";29;"1";"1";"peer-review";4
"576";4;5;4;4;4;7;7;1;"2";41;"2";"2";"preprint_info";4,2
"577";7;7;6;6;6;6;7;1;"1";35;"1";"1";"preprint_info";6,4
"578";7;4;1;7;1;4;4;1;"1";26;"1";"2";"preprint_info";4
"579";6;7;6;6;5;7;6;1;"1";25;"2";"2";"peer-review";6
"580";5;5;1;7;5;5;5;1;"1";35;"1";"2";"preprint_info";4,6
"581";5;4;5;6;5;6;6;1;"2";30;"2";"2";"preprint_noinfo";5
"582";6;6;6;6;6;6;5;1;"1";30;"1";"1";"preprint_info";6
"583";4;7;2;5;6;4;4;1;"2";26;"2";"2";"preprint_noinfo";4,8
"584";5;6;6;6;6;5;5;1;"1";46;"1";"1";"preprint_noinfo";5,8
"585";6;6;5;6;5;6;6;1;"1";66;"2";"2";"preprint_info";5,6
"586";6;7;5;6;7;6;5;1;"1";40;"2";"2";"preprint_noinfo";6,2
"587";6;5;4;6;4;4;5;1;"1";28;"2";"2";"preprint_noinfo";5
"588";6;3;4;6;5;5;4;1;"1";33;"1";"2";"preprint_noinfo";4,8
"589";6;5;2;5;4;2;1;1;"2";52;"1";"1";"preprint_info";4,4
"590";5;5;5;5;5;5;4;1;"1";28;"1";"1";"preprint_info";5
"591";4;4;3;6;5;4;3;1;"2";53;"1";"2";"preprint_noinfo";4,4
"592";5;3;3;5;5;4;4;1;"2";43;"2";"2";"preprint_noinfo";4,2
"593";7;7;6;6;7;5;6;1;"1";48;"1";"1";"preprint_info";6,6
"594";6;5;6;6;7;6;7;1;"1";29;"1";"1";"preprint_noinfo";6
"595";4;5;2;6;6;4;5;1;"2";52;"1";"2";"preprint_info";4,6
"596";5;4;5;5;5;4;5;1;"2";33;"2";"2";"peer-review";4,8
"597";6;6;2;3;4;4;5;1;"1";38;"1";"2";"peer-review";4,2
"598";5;4;1;6;3;6;6;1;"1";64;"2";"2";"peer-review";3,8
"599";5;7;3;7;5;4;7;1;"1";50;"2";"2";"peer-review";5,4
"600";5;4;6;4;5;4;5;1;"1";28;"2";"2";"peer-review";4,8
"601";2;6;3;7;6;3;3;1;"1";26;"1";"2";"preprint_info";4,8
