"";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"744";"";"";"5";"";5;4;1;5;2;3;6;"2";35;"1";"2";4;4;"peer-review";3,4
"751";"";"";"5";"";3;5;3;4;2;2;4;"3";31;"1";"1";6;4;"peer-review";3,4
"756";"";"";"5";"";6;6;5;6;6;6;6;"2";29;"2";"2";7;4;"peer-review";5,8
"5";"4";"";"";"";5;5;6;5;5;5;4;"2";26;"2";"2";5;3;"preprint_noinfo";5,2
"8";"4";"";"";"";5;5;7;6;7;7;7;"1";32;"1";"2";1;4;"preprint_noinfo";6
"10";"4";"";"";"";2;7;7;7;4;3;6;"1";26;"1";"2";1;3;"preprint_noinfo";5,4
"18";"4";"";"";"";6;6;2;6;2;5;4;"2";50;"1";"2";5;3;"preprint_noinfo";4,4
"20";"4";"";"";"";2;4;3;2;4;3;3;"2";25;"1";"2";2;4;"preprint_noinfo";3
"21";"4";"";"";"";5;6;4;5;5;4;4;"2";22;"1";"2";3;3;"preprint_noinfo";5
"29";"4";"";"";"";4;2;1;5;2;4;4;"1";36;"1";"2";2;3;"preprint_noinfo";2,8
"30";"4";"";"";"";6;4;4;6;4;5;5;"1";31;"1";"2";2;3;"preprint_noinfo";4,8
"45";"4";"";"";"";7;5;1;7;2;4;4;"2";40;"1";"2";5;4;"preprint_noinfo";4,4
"46";"4";"";"";"";7;4;2;6;5;5;5;"2";29;"2";"2";1;3;"preprint_noinfo";4,8
"47";"5";"4";"";"";5;6;5;6;5;4;6;"1";26;"1";"2";7;3;"preprint_noinfo";5,4
"51";"7";"4";"";"";6;5;3;4;4;5;5;"1";26;"2";"2";1;4;"preprint_noinfo";4,4
"52";"4";"";"";"";7;2;3;4;5;5;5;"2";27;"1";"2";5;4;"preprint_noinfo";4,2
"54";"4";"";"";"";6;7;6;6;6;6;7;"2";32;"1";"2";6;4;"preprint_noinfo";6,2
"56";"4";"";"";"";4;4;5;4;5;5;5;"2";30;"1";"1";6;3;"preprint_noinfo";4,4
"58";"4";"";"";"";6;7;2;4;5;5;4;"1";32;"1";"1";5;2;"preprint_noinfo";4,8
"61";"4";"";"";"";6;2;2;5;5;4;5;"2";42;"1";"1";4;4;"preprint_noinfo";4
"66";"4";"";"";"";4;3;4;5;5;5;5;"1";42;"2";"2";3;3;"preprint_noinfo";4,2
"67";"4";"";"";"";5;3;7;6;4;6;7;"2";31;"2";"2";1;2;"preprint_noinfo";5
"69";"4";"";"";"";4;4;1;4;4;2;3;"2";42;"1";"2";2;2;"preprint_noinfo";3,4
"71";"4";"";"";"";5;4;3;5;5;5;4;"1";31;"1";"1";6;3;"preprint_noinfo";4,4
"72";"4";"";"";"";4;2;4;5;1;3;4;"1";29;"1";"2";6;2;"preprint_noinfo";3,2
"76";"4";"";"";"";6;6;5;7;6;6;7;"1";29;"2";"2";6;3;"preprint_noinfo";6
"78";"4";"";"";"";5;5;3;7;2;2;5;"1";64;"1";"2";3;3;"preprint_noinfo";4,4
"80";"4";"";"";"";6;4;5;3;4;4;5;"2";31;"1";"2";3;2;"preprint_noinfo";4,4
"82";"4";"";"";"";7;5;1;6;2;6;6;"2";50;"1";"2";6;3;"preprint_noinfo";4,2
"84";"7";"4";"";"";6;6;6;6;7;6;5;"1";25;"2";"2";6;4;"preprint_noinfo";6,2
"86";"4";"";"";"";4;4;4;4;4;3;3;"1";36;"1";"2";4;4;"preprint_noinfo";4
"87";"5";"4";"";"";6;4;6;6;3;6;6;"1";29;"2";"2";4;3;"preprint_noinfo";5
"90";"4";"";"";"";3;4;7;5;6;4;4;"1";47;"1";"1";7;4;"preprint_noinfo";5
"91";"4";"";"";"";7;4;1;7;3;1;2;"1";46;"1";"2";5;4;"preprint_noinfo";4,4
"95";"4";"";"";"";6;4;5;3;4;5;5;"2";50;"2";"2";1;2;"preprint_noinfo";4,4
"97";"4";"";"";"";6;1;1;7;1;2;2;"1";60;"1";"2";3;3;"preprint_noinfo";3,2
"99";"4";"";"";"";7;7;5;7;1;5;3;"1";24;"1";"2";1;3;"preprint_noinfo";5,4
"101";"4";"";"";"";5;5;2;6;3;4;4;"1";70;"1";"2";5;3;"preprint_noinfo";4,2
"104";"4";"";"";"";4;5;1;1;2;2;2;"1";38;"2";"2";1;3;"preprint_noinfo";2,6
"107";"4";"";"";"";4;4;4;5;5;4;5;"1";30;"2";"2";3;3;"preprint_noinfo";4,4
"109";"5";"4";"";"";6;4;7;6;4;5;6;"1";25;"2";"2";4;4;"preprint_noinfo";5,4
"110";"4";"";"";"";4;5;4;5;3;4;5;"1";27;"2";"2";4;3;"preprint_noinfo";4,2
"112";"4";"";"";"";2;4;4;6;4;2;4;"1";28;"2";"2";1;4;"preprint_noinfo";4
"116";"8";"4";"";"";5;6;4;5;6;6;5;"2";25;"2";"2";6;4;"preprint_noinfo";5,2
"117";"4";"";"";"";7;6;5;5;6;5;6;"1";42;"2";"1";5;3;"preprint_noinfo";5,8
"118";"4";"";"";"";4;4;1;2;5;4;4;"1";49;"1";"1";5;3;"preprint_noinfo";3,2
"121";"4";"";"";"";5;5;4;3;1;4;3;"2";26;"1";"2";4;3;"preprint_noinfo";3,6
"123";"4";"";"";"";6;6;2;5;6;5;6;"1";19;"1";"2";6;2;"preprint_noinfo";5
"124";"4";"";"";"";7;7;1;7;7;7;7;"2";28;"2";"2";1;2;"preprint_noinfo";5,8
"128";"4";"";"";"";7;5;7;6;6;7;7;"1";43;"2";"2";1;4;"preprint_noinfo";6,2
"129";"4";"";"";"";5;5;3;7;4;5;6;"2";20;"1";"1";3;2;"preprint_noinfo";4,8
"132";"8";"4";"";"";3;5;4;5;2;5;6;"1";25;"1";"1";5;3;"preprint_noinfo";3,8
"134";"4";"";"";"";6;5;4;5;5;4;5;"2";39;"2";"2";2;3;"preprint_noinfo";5
"135";"4";"";"";"";5;4;3;4;4;5;6;"2";55;"2";"2";4;2;"preprint_noinfo";4
"142";"4";"";"";"";7;7;7;6;7;5;6;"2";37;"2";"2";2;3;"preprint_noinfo";6,8
"144";"4";"";"";"";2;7;1;2;7;6;1;"1";44;"2";"2";3;3;"preprint_noinfo";3,8
"151";"4";"";"";"";4;6;4;6;2;3;5;"1";27;"1";"1";7;3;"preprint_noinfo";4,4
"156";"4";"";"";"";5;6;4;6;5;5;5;"1";44;"1";"2";3;2;"preprint_noinfo";5,2
"158";"4";"";"";"";6;5;2;6;5;5;6;"1";32;"1";"2";3;4;"preprint_noinfo";4,8
"165";"4";"";"";"";4;4;4;7;7;7;7;"2";51;"2";"2";4;3;"preprint_noinfo";5,2
"167";"4";"";"";"";5;5;2;5;3;1;2;"2";26;"1";"2";4;2;"preprint_noinfo";4
"169";"4";"";"";"";6;1;2;6;4;5;6;"1";41;"1";"2";2;4;"preprint_noinfo";3,8
"170";"4";"";"";"";3;4;1;7;7;1;6;"2";45;"2";"2";1;3;"preprint_noinfo";4,4
"174";"4";"";"";"";7;7;7;7;7;7;7;"1";35;"1";"2";4;3;"preprint_noinfo";7
"175";"4";"";"";"";4;4;4;4;4;3;2;"1";28;"2";"2";1;3;"preprint_noinfo";4
"176";"4";"";"";"";5;6;1;2;6;7;6;"1";41;"2";"2";1;2;"preprint_noinfo";4
"177";"4";"";"";"";7;7;1;7;6;7;5;"2";67;"1";"2";6;3;"preprint_noinfo";5,6
"179";"4";"";"";"";4;6;4;6;7;6;4;"1";74;"2";"2";2;2;"preprint_noinfo";5,4
"185";"4";"";"";"";5;6;5;5;5;6;6;"1";48;"2";"2";1;2;"preprint_noinfo";5,2
"192";"4";"";"";"";6;6;2;5;5;2;2;"2";57;"1";"1";5;3;"preprint_noinfo";4,8
"193";"4";"";"";"";5;5;6;5;6;5;6;"2";38;"1";"1";6;3;"preprint_noinfo";5,4
"199";"4";"";"";"";4;4;2;2;2;2;4;"1";30;"1";"2";2;3;"preprint_noinfo";2,8
"206";"4";"";"";"";5;6;2;6;7;4;7;"2";60;"1";"2";6;4;"preprint_noinfo";5,2
"207";"3";"4";"";"";4;4;3;5;5;5;6;"1";50;"1";"1";3;4;"preprint_noinfo";4,2
"212";"4";"";"";"";6;6;6;5;6;5;6;"1";29;"1";"1";6;4;"preprint_noinfo";5,8
"216";"4";"";"";"";6;6;7;7;7;6;7;"2";40;"1";"1";6;4;"preprint_noinfo";6,6
"217";"4";"";"";"";4;2;2;4;2;2;2;"2";21;"2";"2";1;2;"preprint_noinfo";2,8
"219";"4";"";"";"";5;6;2;6;6;4;4;"1";30;"1";"2";3;4;"preprint_noinfo";5
"220";"4";"";"";"";3;5;5;4;2;3;6;"1";23;"1";"2";3;2;"preprint_noinfo";3,8
"222";"4";"";"";"";4;6;5;2;5;6;6;"2";21;"1";"2";3;3;"preprint_noinfo";4,4
"223";"4";"";"";"";4;2;3;5;2;3;3;"2";41;"2";"2";3;2;"preprint_noinfo";3,2
"224";"4";"";"";"";6;5;1;1;3;5;5;"1";28;"1";"2";4;3;"preprint_noinfo";3,2
"225";"4";"";"";"";6;6;1;5;5;3;3;"2";32;"1";"2";5;4;"preprint_noinfo";4,6
"226";"5";"4";"";"";5;6;6;6;6;7;6;"2";30;"2";"2";6;4;"preprint_noinfo";5,8
"227";"4";"";"";"";2;2;2;2;1;3;3;"1";22;"1";"2";5;3;"preprint_noinfo";1,8
"230";"4";"";"";"";7;7;7;7;5;7;6;"1";55;"1";"1";7;3;"preprint_noinfo";6,6
"233";"4";"";"";"";5;5;1;5;2;3;5;"1";38;"1";"1";5;3;"preprint_noinfo";3,6
"236";"4";"";"";"";3;5;5;5;4;5;5;"1";32;"2";"2";1;2;"preprint_noinfo";4,4
"237";"4";"";"";"";5;5;3;5;4;5;5;"1";32;"1";"1";4;3;"preprint_noinfo";4,4
"240";"4";"";"";"";5;5;2;6;4;4;4;"2";51;"1";"2";4;3;"preprint_noinfo";4,4
"244";"4";"";"";"";6;5;2;6;6;6;6;"2";25;"2";"2";2;3;"preprint_noinfo";5
"246";"4";"";"";"";4;4;5;5;5;5;4;"1";32;"2";"1";5;3;"preprint_noinfo";4,6
"253";"4";"";"";"";3;4;2;6;3;6;7;"1";64;"2";"2";1;2;"preprint_noinfo";3,6
"254";"4";"";"";"";5;6;5;4;3;6;5;"1";30;"2";"1";3;3;"preprint_noinfo";4,6
"263";"4";"";"";"";7;6;6;7;5;6;7;"1";28;"1";"1";6;4;"preprint_noinfo";6,2
"265";"4";"";"";"";6;7;7;6;5;7;6;"1";36;"1";"1";6;3;"preprint_noinfo";6,2
"268";"4";"";"";"";5;4;4;5;6;5;5;"1";43;"1";"1";6;3;"preprint_noinfo";4,8
"284";"4";"";"";"";5;5;4;5;4;5;4;"2";26;"2";"2";2;2;"preprint_noinfo";4,6
"290";"5";"4";"";"";4;4;4;4;4;4;4;"2";29;"1";"1";4;3;"preprint_noinfo";4
"297";"4";"";"";"";3;6;1;6;5;4;5;"2";38;"1";"2";3;3;"preprint_noinfo";4,2
"305";"4";"";"";"";6;7;2;7;6;4;7;"2";49;"2";"2";1;2;"preprint_noinfo";5,6
"306";"2";"4";"";"";5;4;6;5;5;5;4;"1";29;"1";"1";4;3;"preprint_noinfo";5
"307";"4";"";"";"";2;5;1;5;3;3;3;"2";71;"2";"2";2;2;"preprint_noinfo";3,2
"311";"4";"";"";"";4;5;7;6;6;5;6;"1";28;"1";"2";5;3;"preprint_noinfo";5,6
"314";"8";"4";"";"";7;7;7;7;6;6;7;"1";62;"2";"2";7;3;"preprint_noinfo";6,8
"318";"4";"";"";"";3;2;6;7;6;5;5;"1";27;"2";"2";1;2;"preprint_noinfo";4,8
"320";"4";"";"";"";3;6;2;6;2;5;5;"1";71;"1";"2";4;3;"preprint_noinfo";3,8
"325";"5";"4";"";"";7;6;5;7;6;6;6;"1";30;"1";"1";4;3;"preprint_noinfo";6,2
"326";"4";"";"";"";6;7;4;4;6;5;7;"2";25;"2";"1";5;3;"preprint_noinfo";5,4
"328";"4";"";"";"";7;5;4;5;2;5;4;"2";43;"1";"2";4;4;"preprint_noinfo";4,6
"344";"4";"";"";"";6;2;5;3;2;4;4;"1";62;"1";"2";2;4;"preprint_noinfo";3,6
"345";"4";"";"";"";3;4;3;5;4;4;4;"1";30;"2";"2";2;4;"preprint_noinfo";3,8
"348";"4";"";"";"";5;5;6;5;6;5;6;"1";29;"2";"2";6;4;"preprint_noinfo";5,4
"349";"4";"";"";"";2;2;6;3;3;6;3;"1";33;"2";"2";5;3;"preprint_noinfo";3,2
"356";"7";"4";"";"";6;6;6;6;6;7;5;"1";24;"1";"1";5;3;"preprint_noinfo";6
"361";"4";"";"";"";4;3;2;2;5;5;6;"1";29;"2";"2";2;3;"preprint_noinfo";3,2
"367";"4";"";"";"";3;5;4;3;5;3;3;"1";46;"1";"1";5;3;"preprint_noinfo";4
"369";"6";"4";"";"";5;6;7;6;7;7;7;"1";26;"1";"1";7;4;"preprint_noinfo";6,2
"376";"4";"";"";"";7;1;7;7;2;4;4;"2";53;"2";"2";1;2;"preprint_noinfo";4,8
"380";"4";"";"";"";6;2;1;5;3;5;3;"1";45;"1";"2";5;2;"preprint_noinfo";3,4
"385";"4";"";"";"";3;5;1;3;1;4;5;"2";29;"1";"2";2;3;"preprint_noinfo";2,6
"388";"3";"4";"";"";7;3;7;6;5;6;5;"1";39;"1";"1";6;3;"preprint_noinfo";5,6
"390";"4";"";"";"";3;6;4;5;5;4;6;"1";27;"1";"1";6;3;"preprint_noinfo";4,6
"391";"4";"";"";"";6;6;1;7;2;3;3;"1";42;"1";"2";3;3;"preprint_noinfo";4,4
"393";"4";"";"";"";4;2;1;2;1;2;4;"3";29;"1";"2";2;2;"preprint_noinfo";2
"394";"4";"";"";"";5;3;3;6;4;6;4;"2";59;"2";"2";3;2;"preprint_noinfo";4,2
"396";"4";"";"";"";5;3;3;6;4;6;7;"1";38;"2";"2";1;2;"preprint_noinfo";4,2
"403";"4";"";"";"";5;3;5;4;2;5;5;"1";29;"2";"2";1;4;"preprint_noinfo";3,8
"407";"4";"";"";"";4;4;1;4;1;3;3;"2";29;"2";"2";1;2;"preprint_noinfo";2,8
"408";"4";"";"";"";4;5;1;2;4;3;4;"2";28;"1";"2";4;3;"preprint_noinfo";3,2
"413";"4";"";"";"";5;6;6;5;6;6;5;"1";25;"1";"1";6;4;"preprint_noinfo";5,6
"415";"7";"4";"";"";4;2;4;4;6;5;4;"1";25;"1";"1";6;3;"preprint_noinfo";4
"416";"4";"";"";"";6;5;6;5;5;5;6;"1";46;"2";"2";6;3;"preprint_noinfo";5,4
"417";"4";"";"";"";6;6;4;7;7;5;6;"1";30;"2";"2";2;2;"preprint_noinfo";6
"420";"4";"";"";"";3;5;6;2;1;5;6;"1";27;"2";"2";4;3;"preprint_noinfo";3,4
"423";"4";"";"";"";4;5;2;5;4;4;5;"2";30;"2";"2";2;3;"preprint_noinfo";4
"426";"4";"";"";"";3;3;6;6;6;7;7;"1";36;"2";"2";2;2;"preprint_noinfo";4,8
"428";"4";"";"";"";6;7;7;6;7;7;7;"2";25;"1";"1";7;4;"preprint_noinfo";6,6
"430";"4";"";"";"";4;5;1;5;2;6;6;"1";28;"2";"2";1;3;"preprint_noinfo";3,4
"431";"4";"";"";"";7;7;7;7;3;7;7;"1";37;"1";"2";1;3;"preprint_noinfo";6,2
"435";"4";"";"";"";5;4;4;5;4;7;7;"2";44;"1";"2";5;3;"preprint_noinfo";4,4
"438";"4";"";"";"";5;7;1;7;7;7;7;"2";37;"2";"2";1;2;"preprint_noinfo";5,4
"455";"4";"";"";"";6;6;5;6;7;5;6;"2";25;"2";"2";6;4;"preprint_noinfo";6
"457";"3";"4";"";"";5;7;2;6;7;6;5;"1";29;"1";"1";4;3;"preprint_noinfo";5,4
"459";"4";"";"";"";5;6;2;4;2;1;4;"2";49;"1";"1";3;2;"preprint_noinfo";3,8
"461";"4";"";"";"";6;2;1;6;1;1;1;"1";68;"1";"2";2;4;"preprint_noinfo";3,2
"462";"4";"";"";"";4;4;2;5;4;3;4;"1";25;"2";"2";1;3;"preprint_noinfo";3,8
"463";"4";"";"";"";5;5;5;6;6;5;5;"1";27;"1";"2";5;3;"preprint_noinfo";5,4
"464";"4";"";"";"";5;4;3;7;2;3;4;"1";31;"1";"2";3;2;"preprint_noinfo";4,2
"467";"4";"";"";"";4;6;4;6;5;5;4;"2";29;"2";"2";2;2;"preprint_noinfo";5
"470";"4";"";"";"";4;3;1;3;2;2;4;"1";36;"1";"2";5;4;"preprint_noinfo";2,6
"476";"4";"";"";"";5;5;3;6;4;4;4;"1";67;"1";"2";2;5;"preprint_noinfo";4,6
"482";"4";"";"";"";6;5;6;4;4;5;6;"1";29;"2";"2";2;3;"preprint_noinfo";5
"486";"4";"";"";"";4;4;2;2;5;3;4;"1";31;"1";"1";6;3;"preprint_noinfo";3,4
"488";"4";"";"";"";5;6;4;5;4;6;5;"1";36;"1";"2";4;3;"preprint_noinfo";4,8
"489";"4";"";"";"";6;4;2;5;3;2;1;"1";32;"1";"2";3;3;"preprint_noinfo";4
"497";"4";"";"";"";7;6;6;7;6;6;7;"2";25;"2";"2";7;4;"preprint_noinfo";6,4
"500";"4";"";"";"";5;7;3;6;7;7;6;"2";34;"2";"2";1;3;"preprint_noinfo";5,6
"501";"4";"";"";"";4;3;2;6;2;4;3;"1";59;"1";"2";3;3;"preprint_noinfo";3,4
"503";"4";"";"";"";6;5;5;3;4;5;4;"1";28;"1";"2";3;2;"preprint_noinfo";4,6
"507";"4";"";"";"";4;3;2;2;1;1;2;"2";23;"1";"1";4;3;"preprint_noinfo";2,4
"508";"3";"4";"";"";6;5;6;5;6;6;5;"1";25;"1";"1";6;3;"preprint_noinfo";5,6
"509";"4";"";"";"";5;6;2;4;5;5;6;"1";30;"2";"2";4;3;"preprint_noinfo";4,4
"512";"4";"";"";"";5;5;4;6;5;2;6;"1";28;"1";"2";4;2;"preprint_noinfo";5
"521";"4";"";"";"";4;4;3;5;3;3;4;"1";33;"1";"2";2;2;"preprint_noinfo";3,8
"522";"4";"";"";"";7;7;4;4;5;6;7;"2";28;"1";"2";4;3;"preprint_noinfo";5,4
"525";"4";"";"";"";7;7;2;7;5;6;1;"1";72;"1";"2";1;3;"preprint_noinfo";5,6
"526";"4";"";"";"";5;5;4;5;5;5;6;"1";36;"1";"2";3;4;"preprint_noinfo";4,8
"528";"7";"4";"";"";6;5;7;6;6;5;6;"1";30;"2";"2";3;3;"preprint_noinfo";6
"530";"4";"";"";"";3;6;4;4;5;6;7;"2";28;"1";"2";3;3;"preprint_noinfo";4,4
"532";"4";"";"";"";5;1;4;2;4;7;7;"2";30;"2";"2";1;3;"preprint_noinfo";3,2
"533";"4";"";"";"";3;7;1;7;1;4;4;"1";32;"2";"2";2;3;"preprint_noinfo";3,8
"537";"4";"";"";"";6;5;1;5;2;3;4;"2";23;"1";"2";3;3;"preprint_noinfo";3,8
"547";"4";"";"";"";2;3;6;5;5;6;4;"1";47;"2";"2";2;4;"preprint_noinfo";4,2
"548";"4";"";"";"";5;4;4;6;6;5;5;"1";23;"1";"1";5;3;"preprint_noinfo";5
"551";"4";"";"";"";2;2;1;3;1;3;4;"1";37;"1";"2";5;4;"preprint_noinfo";1,8
"553";"4";"";"";"";6;5;5;6;6;6;6;"2";35;"1";"2";5;3;"preprint_noinfo";5,6
"556";"4";"";"";"";4;4;2;1;3;2;2;"2";28;"1";"2";2;3;"preprint_noinfo";2,8
"559";"3";"4";"";"";7;5;6;7;7;7;6;"1";30;"1";"1";7;4;"preprint_noinfo";6,4
"564";"4";"";"";"";1;6;3;7;6;4;5;"2";31;"1";"2";4;3;"preprint_noinfo";4,6
"566";"4";"";"";"";5;6;4;5;5;4;4;"1";29;"1";"2";3;2;"preprint_noinfo";5
"569";"4";"";"";"";4;3;6;5;6;6;6;"2";30;"1";"2";7;4;"preprint_noinfo";4,8
"570";"4";"";"";"";5;5;2;4;5;4;4;"2";19;"1";"2";2;2;"preprint_noinfo";4,2
"574";"4";"";"";"";5;2;3;4;1;1;3;"1";29;"1";"2";5;3;"preprint_noinfo";3
"575";"4";"";"";"";4;7;1;2;6;6;6;"2";40;"1";"1";6;4;"preprint_noinfo";4
"576";"4";"";"";"";6;6;5;5;2;4;4;"2";32;"1";"2";4;4;"preprint_noinfo";4,8
"582";"4";"";"";"";5;4;5;4;4;5;5;"2";35;"1";"2";3;3;"preprint_noinfo";4,4
"584";"4";"";"";"";5;5;5;3;5;4;5;"1";33;"2";"2";1;2;"preprint_noinfo";4,6
"585";"4";"";"";"";6;5;3;5;4;3;5;"1";43;"1";"2";2;4;"preprint_noinfo";4,6
"587";"4";"";"";"";7;2;5;7;2;2;3;"2";52;"1";"2";4;2;"preprint_noinfo";4,6
"589";"4";"";"";"";6;4;2;6;4;3;4;"2";39;"2";"1";2;2;"preprint_noinfo";4,4
"590";"4";"";"";"";6;3;4;6;5;5;6;"1";36;"1";"2";5;3;"preprint_noinfo";4,8
"591";"4";"";"";"";5;6;2;6;4;4;5;"1";62;"1";"1";3;4;"preprint_noinfo";4,6
"593";"4";"";"";"";5;6;4;5;4;4;4;"1";37;"1";"2";5;2;"preprint_noinfo";4,8
"605";"4";"";"";"";5;5;2;7;2;2;4;"2";56;"2";"2";1;4;"preprint_noinfo";4,2
"607";"4";"";"";"";5;6;6;6;5;4;5;"2";50;"2";"2";1;2;"preprint_noinfo";5,6
"609";"4";"";"";"";6;7;3;3;4;5;5;"1";24;"2";"2";3;2;"preprint_noinfo";4,6
"610";"4";"";"";"";6;6;3;6;2;5;5;"1";36;"1";"2";4;3;"preprint_noinfo";4,6
"614";"4";"";"";"";6;1;5;4;7;7;6;"1";30;"2";"2";6;4;"preprint_noinfo";4,6
"615";"4";"";"";"";6;6;6;6;6;6;7;"1";30;"2";"2";6;3;"preprint_noinfo";6
"617";"4";"";"";"";6;7;1;6;6;3;6;"1";50;"2";"2";2;3;"preprint_noinfo";5,2
"618";"4";"";"";"";4;7;1;5;4;5;4;"2";27;"2";"2";1;3;"preprint_noinfo";4,2
"621";"3";"4";"";"";6;6;6;7;6;6;6;"1";34;"1";"1";6;3;"preprint_noinfo";6,2
"623";"4";"";"";"";4;5;1;7;7;4;4;"1";30;"1";"2";4;2;"preprint_noinfo";4,8
"626";"4";"";"";"";6;5;4;4;6;6;5;"2";59;"2";"2";2;2;"preprint_noinfo";5
"627";"4";"";"";"";4;4;3;4;4;5;6;"1";22;"1";"1";5;3;"preprint_noinfo";3,8
"628";"4";"";"";"";5;5;2;4;4;3;4;"1";32;"1";"2";4;3;"preprint_noinfo";4
"629";"4";"";"";"";6;6;4;5;6;6;6;"2";24;"2";"2";1;3;"preprint_noinfo";5,4
"633";"4";"";"";"";5;4;5;5;6;5;5;"1";22;"2";"2";1;3;"preprint_noinfo";5
"637";"4";"";"";"";5;4;6;5;4;6;6;"2";36;"2";"2";4;3;"preprint_noinfo";4,8
"640";"4";"";"";"";5;6;4;5;5;6;6;"1";37;"1";"2";3;3;"preprint_noinfo";5
"641";"4";"";"";"";5;5;4;3;3;4;4;"2";30;"1";"1";5;4;"preprint_noinfo";4
"644";"4";"";"";"";5;3;2;6;5;5;5;"1";18;"1";"2";3;2;"preprint_noinfo";4,2
"647";"4";"";"";"";7;3;1;5;4;3;3;"2";30;"1";"2";3;3;"preprint_noinfo";4
"650";"4";"";"";"";4;5;2;5;2;1;3;"2";36;"1";"2";2;3;"preprint_noinfo";3,6
"655";"4";"";"";"";7;7;7;6;6;6;7;"2";49;"1";"1";7;3;"preprint_noinfo";6,6
"658";"8";"4";"";"";4;5;5;6;5;6;7;"1";28;"2";"2";3;3;"preprint_noinfo";5
"681";"4";"";"";"";5;5;5;5;5;5;5;"1";53;"1";"2";5;3;"preprint_noinfo";5
"689";"4";"";"";"";5;5;3;6;6;5;4;"2";34;"1";"2";4;3;"preprint_noinfo";5
"696";"4";"";"";"";6;3;2;6;6;6;3;"1";57;"1";"2";3;4;"preprint_noinfo";4,6
"698";"4";"";"";"";6;7;6;5;5;6;4;"1";33;"1";"1";7;4;"preprint_noinfo";5,8
"720";"4";"";"";"";6;6;6;3;4;6;5;"1";35;"2";"2";2;3;"preprint_noinfo";5
"724";"4";"";"";"";3;5;2;5;3;2;2;"2";62;"1";"1";5;4;"preprint_noinfo";3,6
"726";"4";"";"";"";6;1;2;6;7;1;6;"1";33;"2";"2";5;2;"preprint_noinfo";4,4
"739";"4";"";"";"";4;5;6;7;3;5;4;"1";19;"2";"2";7;2;"preprint_noinfo";5
"742";"4";"";"";"";4;3;1;4;2;2;2;"1";37;"1";"1";3;3;"preprint_noinfo";2,8
"746";"3";"4";"";"";4;5;5;4;5;5;4;"1";25;"1";"1";4;3;"preprint_noinfo";4,6
"752";"4";"";"";"";5;5;4;4;4;5;4;"2";44;"1";"1";4;3;"preprint_noinfo";4,4
"754";"4";"";"";"";4;4;4;4;5;4;4;"1";35;"1";"2";6;3;"preprint_noinfo";4,2
